name;url;price;currency;description;brand;avg_rating;reviews_count;pack_size;ingredients;percentage_alcohol;serving_size
Birds Eye Crispy Pancakes Beef & Onion 4 Pack 266G;https://www.tesco.com/groceries/en-GB/products/305829059;2.2;GBP;Pancakes coated in breadcrumbs with a minced beef and onion filling, lightly fried. For a sustainable tomorrow. Making a difference with responsibly sourced and prepared food everyday. birdseye.co.uk/our-sustainable-path. The new & tasty,Ready in 10 mins;BIRDS EYE;1.5;23;Pack size: 266G;Filling (42%) (Water, Minced Beef (20%), Fried Onion (17%) (Onion, Rapeseed Oil), Beef Stock (Beef Stock, Sugar, Concentrated Carrot Juice, Onion Concentrate, Tomato Paste), Wheat Starch, Sunflower Oil, Onion, Tomato Purée, Carrot, Skimmed Milk Powder, Wheat Flour, Salt, Black Pepper, Rosemary Extract, Bay Leaf), Wheat Flour, Water, Sunflower Oil, Breadcrumbs (Wheat Flour, Salt, Yeast, Paprika Powder, Turmeric), Pasteurised Whole Egg, Skimmed Milk Powder, Wheat Starch, Salt, Concentrated Lemon Juice;;This pack contains 4 portions
Unicorn & Dino Storybooks 4 Pack;https://www.tesco.com/groceries/en-GB/products/311932942;1.5;GBP;UNICORN & DINO STORYBOOKS 4PK;IGLOO;;;;;;
Schwartz Fish Seasoning 55G;https://www.tesco.com/groceries/en-GB/products/257522449;1.85;GBP;Schwartz Fish Seasoning 55G. For recipes and cooking suggestions visit: www.schwartz.co.uk;SCHWARTZ;5;5;Pack size: 55G;Dried Onion, Sea Salt, Sugar, Maltodextrin, Flavouring (contains Barley, Wheat), Parsley (6%), Dried Lemon Peel (5%), Dried Orange Peel, Acid (Citric Acid), Dill Seed, Dried Lemon Juice Concentrate (2%), Black Pepper, Dill (2%), Sunflower Oil, Anti-caking Agent (Silicon Dioxide);;
Hearty Food Co Mac 'N' Cheese 400G;https://www.tesco.com/groceries/en-GB/products/299555755;0.75;GBP;Cheese sauce with cooked macaroni pasta topped with red Cheddar cheese.;HEARTY FOOD CO.;3.3;57;Pack size: 400G;;;1 Servings
Tesco Dijon Mustard 185G;https://www.tesco.com/groceries/en-GB/products/260691710;0.65;GBP;Dijon mustard.;TESCO;3.5;30;Pack size: 185G;;;37 Servings
Disaronno Amaretto 50Cl;https://www.tesco.com/groceries/en-GB/products/255250290;16.5;GBP;Disaronno Amaretto 50Cl. For great cocktail ideas, visit: www.disaronno.com. The World's Favourite Italian Liqueur;DISARONNO;5;6;Pack size: 50CL;;28% vol;
Little Life Buggy Blackout;https://www.tesco.com/groceries/en-GB/products/299960380;14;GBP;Little Life Buggy Blackout. A universal fit buggy blackout cover designed for most strollers, pushchairs & buggies with a double door opening,Protects from the sun's UV rays and also protects from flying insects whilst allowing air circulation with a double-layer air-permeable mesh,Designed for most strollers, pushchairs & buggies to protect from the sun (blocks 99% of UV rays);LITTLE LIFE;5;1;;;;
Crusha Limited Edition Milk Shake Mix Lime Flavoured 500Ml;https://www.tesco.com/groceries/en-GB/products/308462937;2;GBP;Lime flavour milkshake mix with sweeteners. No Artificial Colours or Flavours,No Added Sugar,Suitable for vegetarians;CRUSHA;3;9;Pack size: 500ML;Water, Lime Juice Concentrate, Flavouring, Acid (Citric Acid), Colours (Mixed Carotenes, Copper Chlorophyll), Preservative (Potassium Sorbate), Acidity Regulator (Tri Sodium Citrate), Sweeteners (Sucralose, Acesulfame-K);;
Bisto Onion Gravy Granules 190G;https://www.tesco.com/groceries/en-GB/products/309493789;2;GBP;Onion Gravy Granules. Bisto Onion Gravy Granules,The nation's favourite,Low in fat and sugar,Suitable for vegetarians and vegans,Easy to make in minutes – just add water;BISTO;4.7;7;Pack size: 190G;Potato Starch, Maltodextrin, Palm Fat, Salt, Onion Powder (5%), Flavourings (contain Wheat), Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Colour (Ammonia Caramel), Sugar, Dried Onion (1%), Flavour Enhancers (Monosodium Glutamate, Disodium 5'-Ribonucleotides), Garlic Powder, Emulsifier (Soya Lecithin), Black Pepper Extract, Rosemary Extract;;This pack makes approximately 57 portions
Tesco Finest Wholemeal Seeds And Grains Bread 800G;https://www.tesco.com/groceries/en-GB/products/305737088;1.3;GBP;Sliced wholemeal bread with mixed seeds and grains.;TESCO FINEST;3.4;45;Pack size: 800G;;;18 Servings
Nature's Choice Lamb Dry Dog Food 2Kg;https://www.tesco.com/groceries/en-GB/products/308103217;3;GBP;A complete pet food for adult dogs.;TESCO PET;4;4;Pack size: 2KG;INGREDIENTS: Maize, Barley, Lamb Meal (14%), Meat Meal, Poultry Fat, Sugar Beet Pulp, Digest, Linseed, Vitamins & Minerals(Sodium Chloride, Calcium Carbonate, Mannan Oligosaccharides, Fructo-Oligosaccharides, Choline Chloride, Vitamin E, Ferrous Sulphate, Tocopherol-Rich Extract, Vitamin C, Yucca Cane, Cranberry Extract, Chamomile, Rosemary Extract, Turmeric, Parsley, Manganese, Zinc Oxide, Copper Sulphate, Vitamin B12, Nicotinic Acid, Calcium D-Pantothenate, Biotin, Vitamin B2, Sodium Selenite, Calcium Iodate, Vitamin D3, Vitamin A, Vitamin B6, Vitamin K3, Folic Acid, Vitamin B1).;;Servings
Dove 3In1 Beauty Cream Bar 2X90g;https://www.tesco.com/groceries/en-GB/products/311264010;1.15;GBP;Dove 3In1 Beauty Cream Bar 2X90g. Dove Original Beauty Bar has a gentle cleansing formula that effectively cleans hands whilst helping to retain skin moisture,A moisturising beauty bar that leaves skin softer, smoother and healthier looking,Dove Original with ¼ moisturising cream doesn’t dry out your skin like ordinary bar soap and is suitable for all skin types,Mild cleansers and rich moisturisers in this beauty bar help protect your skin’s natural balance,Dove Original Beauty Bar is sulphate SLES free and kind to your skin,Dermatologically tested beauty bar that’s suitable for daily use on the face, body and hands;DOVE;4.5;120;Pack size: 180G;Sodium Lauroyl Isethionate, Stearic Acid, Sodium Palmitate, Lauric Acid, Aqua, Sodium Isethionate, Sodium Stearate, Cocamidopropyl Betaine, Sodium Palm Kernelate, Glycerin, Parfum, Sodium chloride, Zinc Oxide, Tetrasodium EDTA, Tetrasodium Etidronate, Alumina, Alpha-Isomethyl Ionone, Benzyl alcohol, Butylphenyl Methylpropional, Citronellol, Coumarin, Hexyl Cinnamal, Limonene, Linalool, CI 77891;;
Method Wild Rhubarb All Floor Cleaner 739Ml;https://www.tesco.com/groceries/en-GB/products/302801316;4.5;GBP;Method Wild Rhubarb All Floor Cleaner 739Ml. Squirt + mop,Surface safe,Non-toxic,Plant-based;METHOD;4.6;42;Pack size: 739ML;<5% Non-Ionic Surfactants*, Anionic Surfactants*, Perfume (Citronellol*, Linalool), Methylisothiazolinone, Benzisothiazolinone, Phenoxyethanol, Other: Water, Alcohol Denat.*, Methoxysopropanol, Sodium Citrate*, Citric Acid, Colorant, *Denotes Plant or Mineral origin;;
Athletic Brewing Co. Run Wild Alcohol Free Ipa 4X355ml;https://www.tesco.com/groceries/en-GB/products/312848087;6;GBP;Ahltic Brwng Co Run Wild Alc Free IPA 4x355ml . Alcohol-Free Brew,Contains 65 kcal / can,Suitable for Vegans;AHLTIC BRWNG CO;;;Pack size: 1420ML;Water, Malted Barley, Oats, Hops, Wheat, Yeast;;Each can contains 1 serving
St Moriz Advanced Colour Correct Self-Tanning Dark 200Ml;https://www.tesco.com/groceries/en-GB/products/308845427;10;GBP;ST MORIZ ADV COLR CORRECT S/TAN DARK 200ML . With Purple Undertones to Neutralise Yellow Tones,Insta-Grad Instant Colour & a Long Lasting Tan,Hyaluronic Acid & Vitamin B5,Dermatologically Tested,Cruelty Free International,The Queen's Awards for Enterprise,Vegan Friendly;St. Moriz;1;1;Pack size: 200ML;Aqua (Water), Dihydroxyacetone, Caprylyl/Capryl Glucoside, Propylene Glycol, Dimethyl Isosorbide, Phenoxyethanol, Polysorbate 20, Parfum (Fragrance), Sodium Metabisulfite, Ethylhexylglycerin, Panthenol, Biosaccharide Gum-1, Coumarin, Sodium Hyaluronate, CI 16035 (Red 40), CI 19140 (Yellow 5), CI 17200 (Red 33), CI 42090 (Blue 1);;
Splenda Low Calorie Sweetener Granulated 125G;https://www.tesco.com/groceries/en-GB/products/261149488;3;GBP;Sucralose-based table-top sweetener. For more great recipes and tips on baking and cooking with Splenda® Products, visit www.splenda.co.uk. Visit www.splenda.co.uk/recipes for hundreds of delicious recipes. Low Calorie Sweetener,Tastes Like Sugar!,Only 2 Calories Per Serving,Dissolves in Drinks,Measures spoon for spoon,Great for Baking,No Aspartame,Suitable for Vegetarians and Vegans;SPLENDA;4.7;6;Pack size: 125G;Maltodextrin, Sweetener (Sucralose 1%);;
Bayswood Artificial Snake Plant;https://www.tesco.com/groceries/en-GB/products/310730261;16;GBP;Bayswood Artificial Snake Plant;BAYSWOOD;5;2;;;;
